[Log | Tara | 2] Tara initialization start
[Log | Tara | 3] Debug filename: log.txt
[Log | Tara | 2] Tara initialization end
[Log | Tara | 3] fonts/OpenSans-Bold.ttf 129784 119808
[Log | Tara | 3] fonts/OpenSans-BoldItalic.ttf 135108 134656
[Log | Tara | 3] fonts/OpenSans-ExtraBold.ttf 130180 108044
[Log | Tara | 3] fonts/OpenSans-ExtraBoldItalic.ttf 135688 108800
[Log | Tara | 3] fonts/OpenSans-Italic.ttf 135380 134656
[Log | Tara | 3] fonts/OpenSans-Light.ttf 129756 103553
[Log | Tara | 3] fonts/OpenSans-LightItalic.ttf 135668 130560
[Log | Tara | 3] fonts/OpenSans-Medium.ttf 129948 129792
[Log | Tara | 3] fonts/OpenSans-MediumItalic.ttf 135556 133376
[Log | Tara | 3] fonts/OpenSans-Regular.ttf 129796 119296
[Log | Tara | 3] fonts/OpenSans-SemiBold.ttf 129716 119296
[Log | Tara | 3] fonts/OpenSans-SemiBoldItalic.ttf 135512 131072
[Log | Tara | 3] icon/arrow.png 678 0
[Log | Tara | 3] icon/audio.png 3176 0
[Log | Tara | 3] icon/audiowave.png 354 0
[Log | Tara | 3] icon/camera.png 2534 0
[Log | Tara | 3] icon/close.png 1055 0
[Log | Tara | 3] icon/colorwheel.png 3974 0
[Log | Tara | 3] icon/icons8-3d-model-96.png 1893 0
[Log | Tara | 3] icon/icons8-copy-to-clipboard-96.png 1378 0
[Log | Tara | 3] icon/icons8-cut-96.png 3700 0
[Log | Tara | 3] icon/icons8-delete-96.png 1212 0
[Log | Tara | 3] icon/icons8-document-96.png 476 0
[Log | Tara | 3] icon/icons8-done-96.png 982 0
[Log | Tara | 3] icon/icons8-doughnut-chart-96.png 2588 0
[Log | Tara | 3] icon/icons8-edit-96.png 1293 0
[Log | Tara | 3] icon/icons8-feed-in-96.png 1571 0
[Log | Tara | 3] icon/icons8-file-explorer-96.png 805 0
[Log | Tara | 3] icon/icons8-game-controller-96.png 3156 0
[Log | Tara | 3] icon/icons8-help-96.png 2753 0
[Log | Tara | 3] icon/icons8-info-96.png 2059 0
[Log | Tara | 3] icon/icons8-json-96.png 1963 0
[Log | Tara | 3] icon/icons8-key-96.png 1397 0
[Log | Tara | 3] icon/icons8-landscape-96.png 1813 0
[Log | Tara | 3] icon/icons8-layers-96.png 1822 0
[Log | Tara | 3] icon/icons8-light-96.png 2441 0
[Log | Tara | 3] icon/icons8-load-from-file-96.png 928 0
[Log | Tara | 3] icon/icons8-loading-circle.gif 18791 18330
[Log | Tara | 3] icon/icons8-lock-96.png 1512 0
[Log | Tara | 3] icon/icons8-menu-96.png 215 0
[Log | Tara | 3] icon/icons8-mute-96.png 1147 0
[Log | Tara | 3] icon/icons8-notification-96.png 2102 0
[Log | Tara | 3] icon/icons8-opened-folder-96.png 1064 0
[Log | Tara | 3] icon/icons8-paste-96.png 1282 0
[Log | Tara | 3] icon/icons8-pause-96.png 236 0
[Log | Tara | 3] icon/icons8-play-96.png 393 0
[Log | Tara | 3] icon/icons8-project-management-96.png 4818 0
[Log | Tara | 3] icon/icons8-refresh-96.png 2261 0
